Dish,Count
fried rice,8232
chow mein,1420
orange chicken,1241
noodle soup,1138
kung pao chicken,962
dumplings,946
dim sum,920
wonton,854
mongolian beef,793
white rice,676
egg roll,662
lo mein,643
hot and sour soup,565
hot pot,504
soy sauce,346
won ton,307
peking duck,300
general tso's chicken,275
teriyaki,250
brown rice,224
sweet and sour pork,204
deep fried,197
black bean,189
green beans,187
chicken wings,175
fried chicken,171
cashew chicken,167
steamed rice,164
sweet and sour sauce,156
honey walnut,155
black bean sauce,144
rice noodles,142
stir fry,138
brown sauce,127
stir fried,118
black pepper,115
spring roll,112
chili sauce,110
green onion,109
fortune cookie,103
bok choy,99
congee,96
xo sauce,91
spare ribs,90
mu shu,89
iced tea,88
oyster sauce,86
bean curd,80
char siu,74
chop suey,71
hot sauce,68
general chicken,67
pepper steak,64
rice noodle,62
green tea,61
pork belly,59
duck sauce,58
lo mien,48
mu shu pork,42
jasmine tea,40
red chili,39
twice cooked pork,39
bitter melon,34
hoisin sauce,33
rice cake,33
sticky rice,33
pork ribs,33
chinese noodles,32
tsao's chicken,31
napa cabbage,31
sweet potato,30
shaved ice,30
white sauce,30
peanut sauce,28
potsticker,28
chicken soup,28
corn starch,27
chinese american,26
the mushrooms,26
sesame seeds,25
shark fin,25
miso soup,25
the stir fry,25
chen wok,22
fried egg,22
fried fish,22
green pepper,22
soy milk,22
chinese sausage,21
shrimp and pork,20
fish sauce,19
passion fruit,18
wonton strips,18
sesame oil,18
chili pepper,18
scrambled eggs,17
malaysian,17
egg white,16
braised pork,16
beef tongue,16
tom yum,15
fried dough,15
tomato sauce,15
scallion pancake,14
white pepper,14
coconut milk,14
fish ball,13
condensed milk,13
shark fin soup,13
boba milk,13
jasmine rice,13
frog legs,12
peppers and onions,12
pork chop rice,12
dungeness crab,12
crispy kau,11
winter melon,11
yui shan,11
star anise,10
bubble tea,9
sweet soy,9
the thai iced tea,9
the dimsum,9
pork and veggies,9
lotus root,8
california roll,8
pickled vegetables,8
duck soup,8
braised pork belly,8
rice paper,7
sesame seed,7
dried shrimp,6
shrimp paste,5
pork blood,5
century egg,5
regular noodles,4
buddha's delight,4
xiaolongbao,4
pulled pork,3
cha siu bao,3
glutinous rice,3
hainanese chicken rice,2
the gai lan,2
baozi,2
youtiao,2
sugar cane,1
jiaozi,1
shaobing,1
mantou,1
the refried beans,1
tangyuan,1
